Feedback,Sentiment Label,Ratings,Sentiment
"['good', 'and', 'clean', 'hospit', 'there', 'is', 'great', 'team', 'of', 'doctor', 'and', 'good', 'ot', 'facil', 'the', 'medic', 'facil', 'are', 'all', 'great', 'with', 'good', 'inpati', 'post', 'oper', 'care', 'by', 'doctor', 'nurs', 'the', 'housekeep', 'staff', 'is', 'also', 'good', 'but', 'they', 'can', 'respond', 'to', 'call', 'from', 'the', 'room', 'a', 'littl', 'faster']",1,5,0.680952380952381
"['had', 'a', 'realli', 'bad', 'experi', 'dure', 'discharg', 'they', 'need', 'to', 'be', 'sensit', 'and', 'more', 'transpar', 'toward', 'the', 'patient', 'and', 'hisher', 'famili']",1,5,-0.09999999999999992
"['i', 'have', 'visit', 'to', 'take', 'my', 'second', 'dose', 'and', 'process', 'wa', 'realli', 'smooth', 'hospit', 'from', 'all', 'staff', 'are', 'realli', 'appreci', 'shanti', 'took', 'good', 'care', 'and', 'provid', 'all', 'detail', 'befor', 'vaccin', 'thank', 'you']",1,4,0.3666666666666667
"['that', 'person', 'wa', 'slightli', 'clueless', 'and', 'offer', 'onli', 'one', 'packag', 'but', 'onc', 'i', 'got', 'to', 'the', 'hospit', 'i', 'found', 'a', 'better', 'and', 'more', 'econom', 'one', 'and', 'decid', 'to', 'go', 'ahead']",1,3,0.5
"['there', 'is', 'great', 'team', 'of', 'doctor', 'and', 'good', 'ot', 'facil']",0,1,0.75
"['my', 'primari', 'concern', 'aros', 'from', 'the', 'insist', 'on', 'conduct', 'multipl', 'test', 'which', 'appear', 'unrel', 'to', 'my', 'condit', 'befor', 'initi', 'ani', 'treatment']",0,2,0.0
"['good', 'and', 'clean', 'hospit', 'the', 'medic', 'facil', 'are', 'all', 'great', 'with', 'good', 'inpati', 'post', 'oper', 'care', 'by', 'doctor', 'nurs', 'the', 'housekeep', 'staff', 'is', 'also', 'good', 'but', 'they', 'can', 'respond', 'to', 'call', 'from', 'the', 'room', 'a', 'littl', 'faster']",1,5,0.6533333333333333
"['recent', 'underw', 'a', 'surgeri', 'for', 'my', 'left', 'shoulder', 'the', 'doctor', 'are', 'extrem', 'good', 'but', 'the', 'manag', 'need', 'to', 'be', 'more', 'patient', 'orient', 'than', 'money', 'mind']",1,3,0.3
"['over', 'all', 'experi', 'wa', 'good', 'start', 'from', 'receptionlab', 'servic', 'and', 'doctor', 'interactiondoctor', 'with', 'whom', 'i', 'have', 'had', 'consult', 'wa', 'so', 'niceh', 'heard', 'me', 'with', 'patienc', 'and', 'clarifi', 'all', 'my', 'health', 'condit']",1,5,0.7
"['howeverth', 'servic', 'of', 'front', 'offic', 'where', 'we', 'report', 'first', 'need', 'to', 'be', 'improv', 'servic', 'should', 'be', 'fast']",1,5,0.225
"['other', 'wise', 'no', 'complaint', 'fulli', 'satisfi']",1,4,0.24166666666666667
"['thank', 'to', 'the', 'emerg', 'doctor', 'abhishek', 'and', 'thank', 'to', 'the', 'secur', 'guard', 'there']",1,5,0.0
"['they', 'have', 'expert', 'doctor', 'who', 'give', 'the', 'right', 'medicin', 'and', 'help', 'the', 'patient', 'recov', 'fast']",1,5,0.24285714285714285
"['i', 'realli', 'like', 'the', 'servic', 'there']",1,4,0.0
"['hopeless', 'hospit', 'i', 'dont', 'know', 'how', 'they', 'have', 'got', 'jci', 'and', 'nabh', 'they', 'have', 'no', 'valu', 'for', 'patient', 'or', 'their', 'attend', 'time']",0,2,0.0
"['receptionist', 'onli', 'want', 'money', 'they', 'dont', 'care', 'if', 'the', 'doctor', 'is', '2', 'hr', 'late', 'but', 'give', 'them', 'money']",0,1,-0.3
"['i', 'went', 'for', 'my', 'father', 'he', 'ha', 'tracheostomi', 'n', 'all', 'issu', 'they', 'made', 'him', 'wait', 'for', '1', 'hour', 'n', 'said', 'wait', 'if', 'you', 'want', 'to', 'or', 'go']",0,2,0.0
"['i', 'call', 'them', 'to', 'book', 'an', 'appoint', 'i', 'request', 'for', 'a', 'senior', 'doctor', 'and', 'seek', 'their', 'year', 'of', 'experi', 'they', 'dont', 'want', 'to', 'share', 'it', 'transpar', 'is', 'not', 'there', 'when', 'i', 'call', 'appolo', 'they', 'give', 'all', 'the', 'detailsexperi', 'and', 'i', 'feel', 'comfort', 'while', 'choos', 'doctor', 'fortispl', 'have', 'transper', 'and', 'it', 'is', 'right', 'of', 'a', 'patient']",0,1,0.2857142857142857
